LocationDetailsId	Neighborhoods	Zipcode	Location
SD000001	Bernal Heights	94110	"(37.73912286384805, -122.40874241033747)"
SD000002	Glen Park	94131	"(37.73602287670199, -122.43934639756452)"
SD000003	Sunset/Parkside	94122	"(37.7602439167719, -122.49119616621384)"
SD000004	Outer Mission	94112	"(37.72424760994062, -122.4409217719088)"
SD000005	Inner Sunset	94122	"(37.7647607211014, -122.46883745252963)"
SD000006	Twin Peaks	94131	"(37.753741800701434, -122.4545616784311)"
SD000007	Twin Peaks	94114	"(37.75838860599708, -122.44968152567394)"
SD000008	Pacific Heights	94115	"(37.790886568231464, -122.43498107495773)"
SD000009	Potrero Hill	94107	"(37.753169770156475, -122.38832588007458)"
SD000010	Outer Richmond	94118	"(37.7800561714591, -122.47310920889244)"
SD000011	Inner Richmond	94118	"(37.786494546352785, -122.46545596159748)"
SD000012	Hayes Valley	94117	"(37.77585120711994, -122.4299156425343)"
SD000013	Inner Sunset	94122	"(37.76533771315981, -122.4667315574014)"
SD000014	Inner Sunset	94122	"(37.75817909374674, -122.466395130388)"
SD000015	West of Twin Peaks	94116	"(37.74439248165981, -122.47307864008889)"
SD000016	Outer Richmond	94121	"(37.7731392855426, -122.4772413113835)"
SD000017	Mission	94103	"(37.76784173715355, -122.4227085993624)"
SD000018	Castro/Upper Market	94114	"(37.7655542950393, -122.43424915428865)"
SD000019	Oceanview/Merced/Ingleside	94112	"(37.71801967670623, -122.46214664340825)"
SD000020	Russian Hill	94133	"(37.80284523002701, -122.41498375644495)"
SD000021	Lone Mountain/USF	94115	"(37.77946110660414, -122.44259721237896)"
SD000022	Castro/Upper Market	94114	"(37.767158130525175, -122.43435153204713)"
SD000023	Nob Hill	94108	"(37.79257205256877, -122.41369611726654)"
SD000024	Castro/Upper Market	94114	"(37.76117149541133, -122.43406205322317)"
SD000025	West of Twin Peaks	94127	"(37.73300240560938, -122.45558616894037)"
SD000026	Pacific Heights	94115	"(37.789304462325134, -122.43675329694081)"
SD000027	Mission	94110	"(37.75369393148268, -122.40604994945063)"
SD000028	Noe Valley	94131	"(37.742354944467934, -122.42461326901586)"
SD000029	Marina	94123	"(37.804940938005984, -122.44413898322689)"
SD000030	West of Twin Peaks	94127	"(37.7319156482639, -122.46580725784226)"
SD000031	Mission	94110	"(37.75110865680015, -122.41425392962304)"
SD000032	Bernal Heights	94110	"(37.740943373439436, -122.4136795567469)"
SD000033	West of Twin Peaks	94116	"(37.74738246613208, -122.4702529908527)"
SD000034	Twin Peaks	94131	"(37.751092290709785, -122.45450818866453)"
SD000035	Inner Sunset	94122	"(37.75910624709122, -122.47342290361348)"
SD000036	North Beach	94133	"(37.80166932824295, -122.41164083037131)"
SD000037	Inner Sunset	94116	"(37.75035846483863, -122.47481647376041)"
SD000038	Sunset/Parkside	94116	"(37.7375214148468, -122.48039461902361)"
SD000039	Noe Valley	94131	"(37.746051084265595, -122.43691793831306)"
SD000040	Haight Ashbury	94117	"(37.769172790728724, -122.43690748746738)"
SD000041	Visitacion Valley	94134	"(37.71422139946964, -122.4098712504073)"
SD000042	Outer Mission	94112	"(37.71403606109929, -122.44793771356522)"
SD000043	Presidio Heights	94118	"(37.78881197360522, -122.45750697728252)"
SD000044	West of Twin Peaks	94127	"(37.73457883854594, -122.45360105251038)"
SD000045	Inner Sunset	94122	"(37.75812490864063, -122.46762739415486)"
SD000046	Excelsior	94112	"(37.71065470192258, -122.42813376012259)"
SD000047	Oceanview/Merced/Ingleside	94112	"(37.71981586333587, -122.45460792591167)"
SD000048	Financial District/South Beach	94105	"(37.78767169409096, -122.39976224981415)"
SD000049	Russian Hill	94109	"(37.805197503098086, -122.41884299779682)"
SD000050	Castro/Upper Market	94114	"(37.75856672743937, -122.42994807206915)"
SD000051	Bernal Heights	94110	"(37.74710780377076, -122.40662205876914)"
SD000052	West of Twin Peaks	94127	"(37.735375582765265, -122.45441773299933)"
SD000053	Inner Sunset	94122	"(37.755832295771626, -122.46714053408073)"
SD000054	Presidio Heights	94115	"(37.78391271011936, -122.44421863740011)"
SD000055	Chinatown	94133	"(37.799777160822224, -122.41101361179321)"
SD000056	Outer Richmond	94121	"(37.78247114977821, -122.48043116512558)"
SD000057	Marina	94123	"(37.80514961345609, -122.44351278094624)"
SD000058	Inner Richmond	94118	"(37.77595753713916, -122.46317268163901)"
SD000059	Inner Richmond	94118	"(37.788975345241724, -122.45981068769454)"
SD000060	Presidio Heights	94118	"(37.78335304286968, -122.44960107831636)"
SD000061	Excelsior	94112	"(37.71831176309133, -122.43278413074091)"
SD000062	Sunset/Parkside	94116	"(37.73649236767497, -122.50507939362987)"
SD000063	Outer Richmond	94121	"(37.776995094254225, -122.49815805328967)"
SD000064	Excelsior	94134	"(37.7248010585393, -122.42041320597954)"
SD000065	Potrero Hill	94107	"(37.75159056388154, -122.4016192406236)"
SD000066	Potrero Hill	94107	"(37.758424410239996, -122.40324566919637)"
SD000067	Castro/Upper Market	94117	"(37.76660941962473, -122.43992266102653)"
SD000068	Inner Sunset	94122	"(37.75970771004165, -122.47417838513178)"
SD000069	Outer Mission	94112	"(37.719088035060146, -122.44113687085866)"
SD000070	Outer Richmond	94121	"(37.77637261084501, -122.48830907409148)"
SD000071	Glen Park	94131	"(37.735669520738504, -122.4310307683641)"
SD000072	Bayview Hunters Point	94124	"(37.73511677749016, -122.3909485532266)"
SD000073	Nob Hill	94109	"(37.789246355808444, -122.42065281494618)"
SD000074	Mission	94110	"(37.75523181179057, -122.41182748837379)"
SD000075	Noe Valley	94114	"(37.750304295736214, -122.4423673821534)"
SD000076	Lone Mountain/USF	94118	"(37.780428115160504, -122.45765477185414)"
SD000077	Noe Valley	94110	"(37.74704171947873, -122.42199376140445)"
SD000078	North Beach	94133	"(37.80364488431623, -122.40799337048907)"
SD000079	Portola	94134	"(37.72304174305829, -122.40760674845944)"
SD000080	Castro/Upper Market	94114	"(37.75922808837, -122.4401855744174)"
SD000081	Marina	94123	"(37.797218852898204, -122.4400570232787)"
SD000082	Bayview Hunters Point	94124	"(37.735190007013564, -122.39797990087013)"
SD000083	Inner Sunset	94122	"(37.75737020608155, -122.47058284268074)"
SD000084	Potrero Hill	94107	"(37.75883098783881, -122.4007141256867)"
